ORF	growth;standard
YLL005C	0.992
YLL006W	0.818
YLL007C	0.841
YLL010C	1.064
YLL012W	0.996
YLL013C	1.044
YLL014W	1.018
YLL015W	1.023
YLL016W	1.050
YLL017W	1.027
YLL018C-A	0.684
YLL019C	1.007
YLL020C	0.964
YLL021W	1.029
YLL022C	0.975
YLL023C	1.003
YLL024C	1.009
YLL025W	1.025
YLL026W	1.042
YLL027W	0.427
YLL028W	1.066
YLL029W	0.939
YLL032C	1.051
YLL033W	0.554
YLL038C	0.946
YLL039C	0.661
YLL040C	0.946
YLL041C	0.967
YLL042C	0.971
YLL043W	0.924
YLL045C	0.905
YLL046C	1.021
YLL047W	0.992
YLL048C	0.998
YLL049W	0.875
YLL051C	1.028
YLL052C	1.039
YLL053C	1.043
YLL054C	1.021
YLL055W	1.013
YLL056C	1.009
YLL057C	1.048
YLL058W	1.033
YLL059C	0.964
YLL060C	1.014
YLL061W	1.045
YLL062C	1.058
YLL063C	1.048
YLL064C	1.032
YLL066W-B	1.015
YLR001C	1.047
YLR003C	1.010
YLR004C	1.001
YLR006C	1.015
YLR011W	1.092
YLR012C	0.959
YLR013W	1.013
YLR014C	0.971
YLR015W	0.822
YLR016C	1.023
YLR017W	1.011
YLR018C	1.012
YLR019W	1.017
YLR020C	1.018
YLR021W	0.944
YLR023C	1.094
YLR024C	0.964
YLR025W	0.230
YLR027C	0.225
YLR028C	1.024
YLR030W	1.005
YLR031W	1.035
YLR032W	0.930
YLR034C	0.961
YLR035C	1.008
YLR036C	1.040
YLR037C	1.057
YLR038C	0.706
YLR039C	0.583
YLR040C	1.010
YLR041W	1.016
YLR042C	1.016
YLR043C	0.996
YLR044C	0.994
YLR046C	1.001
YLR047C	1.035
YLR048W	0.547
YLR049C	1.028
YLR050C	1.039
YLR052W	0.655
YLR053C	1.082
YLR054C	1.049
YLR055C	0.756
YLR056W	0.748
YLR057W	1.014
YLR058C	1.031
YLR059C	1.041
YLR061W	0.477
YLR062C	0.845
YLR063W	1.038
YLR064W	0.984
YLR065C	0.931
YLR067C	0.598
YLR068W	0.448
YLR069C	0.392
YLR070C	1.053
YLR072W	1.012
YLR073C	1.051
YLR077W	1.018
YLR079W	0.552
YLR080W	0.984
YLR081W	1.077
YLR082C	1.039
YLR083C	1.051
YLR084C	0.993
YLR085C	0.946
YLR087C	0.886
YLR089C	0.822
YLR090W	1.001
YLR091W	0.549
YLR092W	1.022
YLR093C	1.002
YLR094C	1.067
YLR095C	0.974
YLR096W	1.052
YLR097C	1.069
YLR098C	0.996
YLR099C	0.986
YLR102C	1.027
YLR104W	0.982
YLR107W	1.003
YLR108C	1.059
YLR109W	1.022
YLR110C	0.916
YLR111W	0.931
YLR112W	1.004
YLR113W	0.996
YLR114C	0.886
YLR118C	1.063
YLR119W	0.845
YLR120C	1.015
YLR121C	1.036
YLR122C	1.025
YLR123C	1.022
YLR124W	1.016
YLR125W	1.024
YLR126C	1.050
YLR128W	1.039
YLR130C	1.059
YLR131C	1.086
YLR133W	1.055
YLR134W	1.023
YLR135W	1.036
YLR136C	1.019
YLR137W	1.011
YLR138W	1.027
YLR139C	0.477
YLR142W	1.042
YLR143W	0.957
YLR144C	1.020
YLR146C	1.028
YLR148W	0.245
YLR149C	1.025
YLR150W	0.930
YLR151C	1.024
YLR152C	1.026
YLR154C	0.969
YLR154C-G	0.992
YLR154C-H	0.982
YLR154W-A	0.969
YLR156C-A	1.018
YLR156W	1.095
YLR157C	1.049
YLR158C	1.054
YLR159W	1.004
YLR160C	1.013
YLR161W	1.011
YLR162W	1.050
YLR162W-A	1.044
YLR164W	1.038
YLR165C	1.046
YLR168C	1.002
YLR169W	1.034
YLR170C	0.994
YLR171W	0.999
YLR172C	1.010
YLR173W	1.021
YLR174W	1.036
YLR176C	1.030
YLR177W	0.998
YLR178C	1.025
YLR179C	1.035
YLR180W	0.976
YLR181C	1.027
YLR182W	0.297
YLR183C	0.987
YLR184W	0.694
YLR185W	0.596
YLR187W	1.052
YLR188W	1.010
YLR189C	1.000
YLR190W	0.831
YLR191W	0.895
YLR192C	0.584
YLR193C	0.801
YLR194C	0.999
YLR199C	1.010
YLR200W	0.833
YLR201C	0.719
YLR203C	0.763
YLR204W	0.752
YLR205C	1.038
YLR206W	1.020
YLR207W	1.081
YLR209C	1.026
YLR210W	1.084
YLR211C	1.003
YLR213C	1.000
YLR214W	1.001
YLR216C	0.999
YLR217W	1.077
YLR218C	0.754
YLR219W	0.988
YLR220W	1.028
YLR221C	0.987
YLR224W	1.039
YLR225C	1.029
YLR226W	0.435
YLR227C	1.033
YLR228C	1.067
YLR231C	1.039
YLR232W	1.011
YLR233C	1.029
YLR236C	0.982
YLR237W	0.966
YLR238W	1.009
YLR239C	0.769
YLR241W	1.011
YLR242C	0.438
YLR244C	0.482
YLR245C	1.014
YLR246W	0.951
YLR247C	1.055
YLR248W	1.028
YLR250W	1.046
YLR251W	1.040
YLR252W	1.032
YLR253W	1.040
YLR254C	1.017
YLR255C	0.980
YLR256W	0.901
YLR257W	1.065
YLR258W	1.040
YLR260W	1.050
YLR261C	0.571
YLR262C	0.589
YLR262C-A	1.020
YLR263W	1.098
YLR264C-A	0.915
YLR264W	0.824
YLR265C	1.003
YLR266C	1.015
YLR267W	1.010
YLR269C	0.942
YLR270W	0.910
YLR271W	1.000
YLR273C	1.028
YLR278C	1.024
YLR279W	0.995
YLR280C	0.995
YLR281C	1.019
YLR282C	1.034
YLR283W	1.017
YLR284C	1.011
YLR285C-A	1.014
YLR285W	1.038
YLR286C	1.017
YLR287C	1.033
YLR287C-A	0.807
YLR288C	0.976
YLR289W	1.021
YLR290C	0.915
YLR292C	1.024
YLR294C	1.010
YLR295C	0.597
YLR296W	1.062
YLR297W	1.030
YLR299W	1.032
YLR300W	1.028
YLR301W	1.020
YLR303W	1.003
YLR304C	0.351
YLR306W	1.002
YLR307C-A	0.990
YLR307W	1.058
YLR308W	1.011
YLR309C	0.996
YLR311C	1.004
YLR312C	1.037
YLR312C-B	1.018
YLR312W-A	0.606
YLR313C	1.058
YLR315W	0.892
YLR319C	0.976
YLR320W	0.627
YLR324W	1.020
YLR325C	0.955
YLR326W	1.026
YLR327C	1.045
YLR328W	1.015
YLR329W	0.999
YLR330W	0.907
YLR332W	0.992
YLR333C	0.986
YLR334C	0.924
YLR335W	1.021
YLR337C	0.380
YLR341W	1.015
YLR342W	0.739
YLR342W-A	0.985
YLR343W	1.013
YLR344W	0.894
YLR345W	1.054
YLR346C	1.025
YLR348C	1.060
YLR349W	0.980
YLR350W	0.966
YLR351C	1.042
YLR352W	1.006
YLR353W	1.046
YLR354C	1.029
YLR356W	1.018
YLR357W	0.228
YLR360W	0.886
YLR361C	0.995
YLR361C-A	1.083
YLR363C	1.015
YLR363W-A	0.918
YLR364W	1.019
YLR365W	1.021
YLR366W	0.954
YLR367W	0.926
YLR368W	1.029
YLR369W	0.164
YLR370C	0.643
YLR371W	0.932
YLR372W	0.913
YLR373C	0.905
YLR374C	0.934
YLR375W	0.976
YLR376C	1.056
YLR377C	1.001
YLR380W	0.996
YLR381W	1.001
YLR382C	0.477
YLR384C	0.743
YLR385C	1.030
YLR386W	1.028
YLR387C	0.987
YLR388W	0.786
YLR389C	0.989
YLR390W	1.027
YLR390W-A	0.996
YLR391W	1.009
YLR392C	1.012
YLR393W	0.791
YLR394W	1.029
YLR395C	0.967
YLR396C	0.192
YLR398C	0.956
YLR399C	1.123
YLR400W	0.979
YLR401C	1.045
YLR402W	0.873
YLR404W	0.973
YLR405W	1.002
YLR406C	0.983
YLR406C-A	1.008
YLR407W	1.019
YLR408C	1.027
YLR410W	0.753
YLR411W	1.034
YLR412C-A	1.050
YLR412W	0.930
YLR413W	1.047
YLR414C	1.025
YLR415C	0.965
YLR416C	0.957
YLR417W	0.241
YLR418C	0.795
YLR419W	1.020
YLR420W	0.995
YLR421C	0.984
YLR422W	0.926
YLR423C	1.025
YLR425W	0.526
YLR427W	1.007
YLR428C	1.071
YLR429W	1.002
YLR431C	0.994
YLR432W	0.971
YLR433C	1.051
YLR434C	0.982
YLR436C	0.968
YLR437C	1.032
YLR438W	1.006
YLR439W	0.493
YLR441C	0.763
YLR443W	0.956
YLR444C	1.002
YLR445W	0.995
YLR446W	1.023
YLR447C	0.507
YLR448W	0.800
YLR449W	1.000
YLR450W	0.970
YLR451W	1.004
YLR452C	0.795
YLR453C	1.038
YLR454W	1.065
YLR455W	1.000
YLR456W	1.001
YLR460C	1.069
YLR461W	1.015
YLR464W	1.044
YLR466C-B	1.067
YLR466W	1.011
YLR467W	0.981
YML001W	0.808
YML002W	0.985
YML003W	1.009
YML004C	1.022
YML005W	1.010
YML006C	0.889
YML007C-A	0.991
YML007W	1.010
YML008C	0.959
YML009C	0.996
YML010C-B	0.887
YML011C	0.998
YML012C-A	0.475
YML012W	1.026
YML014W	0.896
YML016C	1.018
YML017W	0.976
YML018C	1.060
YML019W	1.011
YML020W	1.044
YML021C	1.009
YML022W	1.068
YML024W	0.625
YML026C	0.786
YML027W	1.000
YML028W	0.883
YML029W	1.082
YML030W	0.987
YML032C	0.823
YML033W	0.991
YML034W	0.995
YML035C	1.028
YML035C-A	1.028
YML036W	0.730
YML037C	1.037
YML038C	0.964
YML041C	0.940
YML042W	1.009
YML047C	0.974
YML048W	0.934
YML048W-A	1.042
YML050W	0.977
YML051W	1.018
YML052W	1.022
YML053C	0.983
YML054C	1.024
YML055W	1.011
YML056C	1.012
YML057W	1.027
YML058C-A	1.056
YML058W	1.024
YML058W-A	1.042
YML059C	1.062
YML060W	1.017
YML061C	0.839
YML062C	1.010
YML063W	0.526
YML066C	0.922
YML067C	1.064
YML068W	1.069
YML070W	1.004
YML071C	0.985
YML072C	0.969
YML073C	0.629
YML074C	1.048
YML075C	0.980
YML076C	1.008
YML078W	1.031
YML079W	1.041
YML081C-A	0.897
YML081W	1.140
YML082W	1.063
YML086C	1.001
YML087C	1.020
YML088W	1.008
YML090W	0.853
YML094W	0.717
YML095C	0.993
YML096W	0.981
YML097C	0.697
YML099C	1.070
YML100W	0.983
YML100W-A	1.041
YML101C	1.009
YML102C-A	0.866
YML102W	0.872
YML103C	0.904
YML104C	1.042
YML106W	0.900
YML107C	1.051
YML108W	0.993
YML109W	1.059
YML110C	0.689
YML111W	1.016
YML112W	1.022
YML113W	1.058
YML115C	0.575
YML116W	1.033
YML117W	1.035
YML117W-A	1.016
YML118W	1.034
YML119W	1.078
YML120C	1.107
YML121W	0.778
YML123C	0.949
YML124C	1.006
YML128C	0.731
YML129C	0.657
YML131W	1.047
YML133C	1.086
YMR001C-A	1.023
YMR002W	1.042
YMR003W	0.989
YMR004W	0.954
YMR006C	1.007
YMR007W	1.029
YMR008C	1.036
YMR009W	0.991
YMR010W	1.026
YMR011W	1.037
YMR012W	1.028
YMR013W-A	0.965
YMR015C	0.966
YMR016C	0.865
YMR017W	1.029
YMR018W	1.006
YMR019W	1.051
YMR020W	1.002
YMR022W	1.037
YMR023C	0.918
YMR024W	0.419
YMR025W	1.017
YMR026C	0.877
YMR027W	0.987
YMR029C	0.992
YMR030W	0.994
YMR030W-A	0.962
YMR031C	1.039
YMR031W-A	0.912
YMR034C	0.990
YMR035W	0.878
YMR036C	1.037
YMR037C	0.999
YMR039C	0.944
YMR040W	1.032
YMR041C	1.065
YMR042W	1.065
YMR044W	1.005
YMR048W	1.051
YMR052C-A	0.912
YMR052W	0.963
YMR053C	1.014
YMR054W	1.012
YMR055C	1.067
YMR056C	1.067
YMR057C	1.024
YMR058W	1.044
YMR060C	0.930
YMR062C	0.243
YMR063W	0.796
YMR064W	0.707
YMR065W	0.986
YMR066W	0.492
YMR067C	1.001
YMR068W	1.018
YMR069W	1.004
YMR070W	0.998
YMR071C	0.854
YMR072W	0.820
YMR073C	1.028
YMR074C	1.018
YMR075C-A	0.975
YMR075W	0.903
YMR077C	0.282
YMR078C	0.801
YMR080C	1.012
YMR081C	1.024
YMR083W	0.446
YMR084W	1.015
YMR085W	1.050
YMR086C-A	1.152
YMR086W	1.026
YMR087W	0.994
YMR088C	1.026
YMR089C	0.514
YMR090W	1.065
YMR092C	1.000
YMR095C	1.017
YMR096W	1.006
YMR097C	0.492
YMR099C	0.995
YMR100W	0.939
YMR101C	1.011
YMR102C	1.067
YMR103C	1.063
YMR104C	0.994
YMR105C	1.038
YMR105W-A	1.038
YMR106C	1.028
YMR107W	1.016
YMR109W	1.026
YMR110C	1.063
YMR111C	1.074
YMR114C	1.055
YMR115W	0.929
YMR116C	0.653
YMR118C	0.987
YMR119W	1.025
YMR119W-A	1.012
YMR120C	1.003
YMR121C	1.062
YMR122C	1.047
YMR122W-A	1.038
YMR123W	0.786
YMR124W	0.984
YMR125W	1.001
YMR126C	0.992
YMR127C	1.012
YMR129W	1.001
YMR130W	1.016
YMR132C	1.056
YMR133W	1.027
YMR135C	1.004
YMR136W	1.050
YMR137C	1.010
YMR138W	0.979
YMR139W	0.925
YMR140W	1.100
YMR141C	1.053
YMR143W	0.563
YMR144W	1.016
YMR145C	1.038
YMR147W	0.947
YMR148W	0.963
YMR150C	0.742
YMR152W	1.028
YMR153C-A	0.993
YMR153W	1.029
YMR154C	0.770
YMR155W	1.053
YMR156C	1.029
YMR157C	0.993
YMR158C-A	1.038
YMR158W	0.578
YMR158W-A	0.980
YMR159C	0.985
YMR160W	1.018
YMR161W	1.045
YMR162C	1.038
YMR163C	0.930
YMR164C	1.041
YMR166C	0.897
YMR167W	0.952
YMR169C	1.043
YMR170C	1.085
YMR171C	1.076
YMR172C-A	0.986
YMR172W	1.010
YMR173W	0.978
YMR173W-A	1.046
YMR174C	1.038
YMR175W	1.060
YMR175W-A	1.024
YMR176W	1.003
YMR177W	1.073
YMR178W	1.027
YMR179W	0.579
YMR180C	1.015
YMR181C	1.029
YMR182C	0.962
YMR182W-A	1.054
YMR183C	0.859
YMR184W	1.041
YMR186W	1.009
YMR187C	1.027
YMR188C	0.507
YMR189W	1.026
YMR190C	0.907
YMR191W	1.017
YMR192W	1.021
YMR193C-A	0.957
YMR193W	0.483
YMR194C-A	0.990
YMR194C-B	1.057
YMR194W	0.928
YMR195W	1.060
YMR196W	1.016
YMR198W	0.802
YMR199W	1.015
YMR201C	0.944
YMR202W	0.387
YMR204C	0.883
YMR205C	0.815
YMR206W	1.014
YMR207C	0.872
YMR209C	1.009
YMR210W	1.024
YMR214W	1.043
YMR215W	1.053
YMR216C	0.866
YMR219W	1.078
YMR221C	1.042
YMR222C	1.032
YMR223W	0.891
YMR224C	0.675
YMR225C	1.075
YMR226C	1.046
YMR228W	0.289
YMR230W	0.846
YMR230W-A	1.092
YMR231W	0.081
YMR232W	1.046
YMR233W	1.004
YMR234W	1.013
YMR237W	1.040
YMR238W	1.002
YMR241W	0.974
YMR242C	0.414
YMR242W-A	0.461
YMR243C	0.880
YMR244C-A	1.024
YMR244W	1.012
YMR245W	0.995
YMR246W	1.025
YMR247C	0.992
YMR247W-A	0.990
YMR250W	1.028
YMR251W	1.078
YMR251W-A	0.999
YMR252C	1.014
YMR253C	1.039
YMR254C	1.018
YMR255W	1.057
YMR256C	0.711
YMR257C	0.629
YMR258C	1.044
YMR259C	0.995
YMR261C	1.015
YMR262W	1.006
YMR263W	0.959
YMR264W	1.029
YMR265C	1.015
YMR266W	1.050
YMR269W	0.544
YMR271C	1.037
YMR272C	0.859
YMR272W-B	1.051
YMR273C	1.033
YMR274C	1.035
YMR275C	0.913
YMR276W	1.043
YMR278W	1.066
YMR279C	1.072
YMR280C	1.006
YMR282C	0.725
YMR283C	1.009
YMR284W	1.060
YMR285C	1.020
YMR286W	0.645
YMR287C	0.416
YMR289W	1.021
YMR291W	1.030
YMR292W	1.017
YMR293C	0.588
YMR294W	0.900
YMR294W-A	1.050
YMR295C	1.051
YMR297W	1.074
YMR299C	0.965
YMR300C	1.037
YMR302C	1.045
YMR303C	1.023
YMR304C-A	1.007
YMR304W	0.909
YMR305C	1.048
YMR306C-A	1.043
YMR306W	1.009
YMR307W	0.820
YMR310C	0.961
YMR311C	0.945
YMR312W	0.811
YMR313C	1.033
YMR315W	1.069
YMR315W-A	1.020
YMR316C-A	1.050
YMR316C-B	1.046
YMR316W	1.004
YMR317W	1.026
YMR318C	1.027
YMR319C	1.050
YMR320W	1.043
YMR321C	1.059
YMR322C	1.006
YMR323W	1.045
YMR325W	1.072
YMR326C	0.988
YNL001W	0.900
YNL003C	0.672
YNL004W	1.021
YNL005C	0.648
YNL008C	1.006
YNL009W	1.049
YNL010W	0.959
YNL011C	1.054
YNL012W	1.011
YNL013C	0.994
YNL014W	1.000
YNL015W	1.006
YNL016W	0.855
YNL019C	1.049
YNL020C	1.067
YNL021W	0.771
YNL022C	1.024
YNL023C	1.011
YNL024C	0.999
YNL024C-A	0.991
YNL025C	0.581
YNL027W	1.025
YNL028W	1.017
YNL029C	1.018
YNL030W	1.007
YNL031C	1.021
YNL032W	0.941
YNL033W	1.008
YNL034W	1.014
YNL035C	1.000
YNL036W	0.907
YNL037C	0.801
YNL040W	1.029
YNL041C	0.962
YNL042W	1.064
YNL042W-B	0.983
YNL043C	0.997
YNL044W	1.047
YNL045W	1.065
YNL046W	1.044
YNL047C	0.982
YNL048W	1.035
YNL049C	1.020
YNL050C	0.997
YNL051W	0.992
YNL052W	0.905
YNL053W	0.994
YNL054W	0.813
YNL055C	0.647
YNL056W	0.988
YNL057W	1.012
YNL058C	0.998
YNL063W	1.025
YNL064C	0.730
YNL065W	0.998
YNL066W	0.991
YNL067W	0.869
YNL067W-B	0.932
YNL068C	1.001
YNL070W	1.002
YNL071W	0.902
YNL072W	1.026
YNL073W	0.506
YNL074C	1.031
YNL076W	0.680
YNL077W	0.926
YNL078W	1.040
YNL079C	0.858
YNL080C	0.566
YNL081C	0.559
YNL082W	0.921
YNL083W	0.996
YNL084C	0.765
YNL085W	0.981
YNL086W	1.063
YNL087W	1.023
YNL089C	0.997
YNL090W	1.040
YNL091W	0.862
YNL092W	1.044
YNL093W	1.004
YNL094W	0.979
YNL095C	1.039
YNL096C	0.842
YNL097C	0.984
YNL098C	0.994
YNL099C	1.028
YNL100W	0.949
YNL101W	1.039
YNL104C	1.016
YNL105W	0.969
YNL107W	0.976
YNL108C	0.974
YNL109W	0.890
YNL111C	1.022
YNL115C	1.025
YNL116W	1.065
YNL119W	0.837
YNL120C	0.866
YNL121C	0.980
YNL122C	0.969
YNL123W	1.013
YNL125C	1.031
YNL127W	0.935
YNL128W	1.020
YNL129W	1.046
YNL130C	1.023
YNL130C-A	1.073
YNL133C	0.255
YNL134C	1.000
YNL135C	0.861
YNL136W	0.899
YNL138W	0.308
YNL138W-A	0.640
YNL140C	0.984
YNL141W	0.638
YNL142W	1.035
YNL143C	1.015
YNL144C	1.088
YNL145W	1.021
YNL146C-A	1.037
YNL146W	1.054
YNL147W	0.854
YNL153C	0.864
YNL154C	0.982
YNL155W	0.993
YNL156C	1.043
YNL157W	1.085
YNL159C	0.984
YNR001C	0.997
YNR002C	0.978
YNR004W	0.935
YNR005C	1.019
YNR006W	0.696
YNR007C	1.002
YNR008W	1.031
YNR009W	0.986
YNR010W	0.729
YNR012W	1.018
YNR013C	1.051
YNR014W	1.016
YNR015W	1.003
YNR018W	1.001
YNR019W	1.017
YNR020C	0.760
YNR021W	1.021
YNR022C	1.002
YNR024W	1.040
YNR025C	0.988
YNR027W	1.019
YNR028W	1.010
YNR029C	0.939
YNR030W	1.058
YNR031C	1.051
YNR032C-A	1.010
YNR032W	0.932
YNR033W	0.999
YNR034W	0.999
YNR034W-A	0.992
YNR036C	0.573
YNR037C	0.572
YNR039C	1.012
YNR040W	1.013
YNR041C	0.809
YNR042W	1.010
YNR044W	1.021
YNR047W	1.005
YNR048W	1.078
YNR049C	1.006
YNR051C	0.857
YNR052C	0.914
YNR055C	1.017
YNR057C	1.019
YNR058W	1.032
YNR059W	1.017
YNR060W	1.043
YNR061C	1.000
YNR062C	1.040
YNR063W	1.014
YNR064C	1.042
YNR065C	1.014
YNR066C	0.994
YNR067C	1.034
YNR068C	1.070
YNR069C	0.987
YNR070W	0.981
YNR071C	1.003
YNR072W	1.009
YNR073C	1.010
YNR074C	0.996
YNR075C-A	0.985
YNR075W	1.000
YNR076W	1.039
YOL001W	0.706
YOL002C	1.033
YOL003C	1.007
YOL004W	0.667
YOL006C	0.862
YOL007C	1.051
YOL008W	0.842
YOL009C	0.512
YOL011W	1.007
YOL012C	0.631
YOL013C	1.067
YOL013W-A	1.009
YOL014W	1.041
YOL015W	1.076
YOL016C	1.063
YOL017W	1.018
YOL018C	0.826
YOL019W	1.045
YOL019W-A	0.993
YOL020W	1.010
YOL023W	0.747
YOL024W	1.015
YOL025W	0.995
YOL027C	0.889
YOL028C	1.041
YOL029C	1.026
YOL030W	1.031
YOL031C	1.064
YOL032W	1.037
YOL033W	0.224
YOL035C	0.946
YOL036W	1.000
YOL037C	0.999
YOL038C-A	1.027
YOL039W	0.977
YOL041C	0.667
YOL042W	1.053
YOL043C	1.024
YOL044W	0.892
YOL045W	1.017
YOL046C	0.967
YOL047C	1.001
YOL048C	1.034
YOL049W	0.925
YOL050C	0.876
YOL051W	0.331
YOL052C	0.784
YOL052C-A	1.045
YOL053C-A	1.041
YOL053W	1.038
YOL054W	1.002
YOL055C	1.013
YOL056W	0.999
YOL057W	0.994
YOL059W	1.044
YOL060C	1.038
YOL061W	1.001
YOL062C	1.014
YOL063C	1.011
YOL064C	0.867
YOL065C	1.043
YOL067C	0.729
YOL068C	1.004
YOL070C	1.007
YOL071W	0.960
YOL072W	0.591
YOL073C	1.008
YOL075C	1.053
YOL076W	0.526
YOL077W-A	1.109
YOL079W	0.977
YOL080C	0.990
YOL081W	0.890
YOL082W	1.034
YOL083W	1.046
YOL084W	1.025
YOL085C	1.072
YOL086C	0.962
YOL086W-A	1.060
YOL087C	0.943
YOL088C	0.991
YOL089C	0.984
YOL090W	0.934
YOL091W	1.032
YOL092W	1.047
YOL093W	1.002
YOL095C	0.724
YOL096C	0.826
YOL098C	1.021
YOL099C	1.052
YOL100W	1.023
YOL101C	1.029
YOL103W	1.018
YOL104C	1.038
YOL105C	1.002
YOL106W	1.024
YOL107W	1.043
YOL108C	0.542
YOL109W	1.039
YOL110W	0.947
YOL111C	1.022
YOL112W	1.022
YOL113W	1.015
YOL114C	1.023
YOL116W	1.015
YOL117W	1.001
YOL118C	1.050
YOL119C	0.996
YOL121C	0.711
YOL122C	0.991
YOL124C	1.030
YOL125W	1.029
YOL126C	1.014
YOL128C	1.013
YOL129W	0.988
YOL131W	1.031
YOL132W	1.047
YOL136C	1.010
YOL137W	1.019
YOL140W	0.339
YOL141W	1.015
YOL143C	0.063
YOL145C	0.351
YOL147C	1.026
YOL150C	1.039
YOL151W	0.995
YOL152W	1.020
YOL153C	1.013
YOL154W	1.042
YOL155C	1.046
YOL155W-A	1.057
YOL156W	1.039
YOL157C	1.090
YOL158C	0.977
YOL159C	1.002
YOL159C-A	0.994
YOL160W	1.006
YOL161C	0.996
YOL162W	1.023
YOL163W	0.997
YOL164W-A	1.037
YOL165C	1.112
YOL166W-A	1.035
YOR001W	0.471
YOR002W	1.002
YOR003W	1.040
YOR005C	0.997
YOR006C	0.962
YOR007C	1.000
YOR008C	0.488
YOR008C-A	1.000
YOR009W	1.022
YOR010C	1.074
YOR011W	1.053
YOR011W-A	0.994
YOR012W	1.017
YOR013W	1.034
YOR014W	0.780
YOR015W	1.024
YOR016C	1.057
YOR017W	0.986
YOR018W	1.032
YOR019W	1.047
YOR020W-A	1.025
YOR021C	1.006
YOR022C	0.984
YOR023C	1.063
YOR024W	0.986
YOR025W	0.953
YOR026W	0.664
YOR027W	1.036
YOR028C	1.089
YOR029W	1.030
YOR030W	0.819
YOR031W	1.005
YOR032C	1.017
YOR033C	1.049
YOR034C	1.029
YOR034C-A	1.036
YOR035C	0.775
YOR036W	0.314
YOR037W	0.908
YOR038C	0.972
YOR039W	0.852
YOR040W	1.029
YOR041C	0.989
YOR042W	1.022
YOR043W	0.934
YOR044W	1.036
YOR045W	1.031
YOR047C	1.061
YOR049C	1.001
YOR050C	1.000
YOR051C	0.966
YOR052C	1.040
YOR053W	0.975
YOR054C	0.950
YOR055W	0.996
YOR058C	0.982
YOR059C	1.017
YOR061W	0.985
YOR062C	0.998
YOR064C	1.042
YOR065W	0.665
YOR066W	0.997
YOR067C	1.000
YOR068C	0.674
YOR069W	0.669
YOR070C	0.877
YOR071C	1.025
YOR072W	0.995
YOR072W-B	0.950
YOR076C	0.964
YOR078W	0.423
YOR079C	1.019
YOR080W	0.578
YOR081C	1.043
YOR082C	0.932
YOR083W	0.889
YOR084W	1.055
YOR085W	0.901
YOR086C	0.971
YOR087W	0.969
YOR088W	0.984
YOR089C	0.833
YOR090C	1.045
YOR091W	1.016
YOR092W	1.028
YOR093C	1.022
YOR094W	1.057
YOR096W	0.364
YOR097C	1.061
YOR099W	0.999
YOR100C	1.006
YOR101W	1.028
YOR104W	1.025
YOR105W	1.010
YOR106W	0.631
YOR107W	1.033
YOR108W	1.006
YOR109W	0.957
YOR111W	1.026
YOR112W	1.042
YOR113W	0.977
YOR114W	0.996
YOR115C	0.997
YOR118W	1.001
YOR120W	1.035
YOR121C	0.996
YOR123C	0.925
YOR124C	0.924
YOR125C	0.719
YOR126C	1.015
YOR127W	0.998
YOR128C	1.036
YOR129C	1.030
YOR131C	1.061
YOR132W	0.684
YOR133W	1.030
YOR134W	0.999
YOR135C	0.794
YOR136W	0.805
YOR137C	1.040
YOR138C	1.025
YOR139C	0.881
YOR140W	0.829
YOR142W	1.037
YOR144C	0.984
YOR147W	0.971
YOR150W	0.462
YOR152C	0.986
YOR153W	1.012
YOR154W	1.014
YOR155C	1.063
YOR156C	1.049
YOR161C	1.007
YOR162C	1.006
YOR163W	1.021
YOR164C	1.010
YOR165W	0.992
YOR166C	1.040
YOR167C	1.012
YOR170W	1.015
YOR171C	0.984
YOR172W	1.018
YOR173W	1.022
YOR175C	0.995
YOR177C	1.016
YOR178C	0.978
YOR179C	0.965
YOR180C	1.019
YOR182C	0.693
YOR183W	0.732
YOR184W	0.913
YOR185C	1.038
YOR186W	1.026
YOR187W	0.419
YOR188W	0.988
YOR189W	0.969
YOR190W	1.041
YOR191W	0.989
YOR192C	1.034
YOR193W	1.025
YOR195W	1.012
YOR196C	0.751
YOR197W	1.020
YOR201C	0.506
YOR202W	1.034
YOR205C	0.494
YOR208W	1.015
YOR209C	1.016
YOR211C	0.551
YOR213C	1.056
YOR214C	1.032
YOR215C	1.076
YOR216C	1.012
YOR219C	1.023
YOR220W	0.936
YOR221C	0.733
YOR222W	1.032
YOR223W	1.005
YOR225W	0.971
YOR226C	1.039
YOR227W	1.018
YOR228C	1.008
YOR229W	1.031
YOR230W	1.027
YOR231W	0.999
YOR233W	0.927
YOR235W	0.725
YOR237W	1.034
YOR238W	1.001
YOR239W	1.033
YOR240W	0.988
YOR241W	0.268
YOR242C	1.007
YOR243C	0.972
YOR245C	1.007
YOR246C	0.984
YOR247W	1.073
YOR248W	0.990
YOR251C	1.009
YOR252W	1.035
YOR253W	0.974
YOR255W	1.004
YOR263C	1.008
YOR264W	1.053
YOR265W	0.984
YOR266W	0.984
YOR267C	1.016
YOR268C	0.974
YOR269W	0.937
YOR270C	0.592
YOR271C	1.024
YOR273C	0.990
YOR274W	1.025
YOR275C	0.827
YOR276W	0.978
YOR277C	0.954
YOR279C	0.990
YOR280C	1.026
YOR283W	0.985
YOR284W	0.988
YOR285W	1.015
YOR286W	1.057
YOR288C	1.028
YOR289W	1.016
YOR291W	1.029
YOR292C	1.003
YOR293W	0.478
YOR296W	0.982
YOR298C-A	0.958
YOR298W	0.989
YOR299W	0.966
YOR300W	1.058
