20040824	NAME	WEIGHT	DESC	AAPO	YPD	Wort	RafA	Lova	HygB	GlyE	Calc	Caff	AntA	ActD	Alk-5g	Alk-15g	AraC	Arn	Ars	Ben	Bleo	Cis1	Cis4	CPTa	CPTc	Dox	Gal-5g	Gal-15g	H2O2	HU	Ida	IR	Lys	Mech	Mel	Min-5g	Min-15g	MMC	MMS	NaCl-5g	NaCl-15g	Nys-5g	Nys-15g	Oxa	SC	Sorb-5g	Sorb-15g	Thr	Tpt	TPZ	Trp	UVA	UVB	UVC
YJR108W	ABM1	1	microtubule cytoskeleton organization and biogenesis	-0.703	-0.002	0.302	0.049	0.158	-0.05	-0.298	-0.302	-0.13	-0.152	0.005	-0.138	0.134	-0.02	-0.151	0.14	-0.06	0.075	-0.003	-0.045	0.029	-0.005	0.02	0.193	0.124	-0.446	-0.068	-0.067	0.102	-0.206	0.009	0.066	-0.036	0.004	0.014	-0.174	0.005	0.311	-0.151	-0.05	-0.029	-0.173	0.032	0.072	-0.123	-0.134	-0.097	-0.123	-0.105	0.137	0.076
YLR094C	GIS3	1	intracellular signaling cascade	-0.306	0.039	-0.239	0.166	-0.204	-0.06	0.171	0.404	-0.196	0.22	0.167	0.029	0.13	0.024	-0.011	0.173	-0.128	-0.002	-0.061	-0.045	0.091	-0.028	0.083	0.036	-0.083	-0.454	0.071	0.027	0.018	0.131	-0.057	0.042	-0.222	0.118	-0.048	0.184	0.085	0.209	0.144	0.17	-0.065	0.106	-0.205	-0.247	-0.008	-0.006	-0.267	0.142	0.144	-0.024	-0.042
YOR010C	TIR2	1	response to stress	0.049	0.106	0.092	-0.011	-0.074	0.107	-0.165	-0.124	0.073	-0.168	0.042	0.142	0.166	-0.037	-0.021	-0.093	-0.082	0.021	-0.012	-0.045	-0.038	-0.067	0.039	0.14	0.149	-0.257	0.036	-0.057	-0.088	-0.058	-0.01	-0.033	-0.038	0.034	0.006	-0.038	0.2	0.232	-0.03	-0.055	0.019	-0.058	0.028	-0.222	-0.031	0.025	-0.081	-0.009	0.094	-0.097	-0.074
YOR086C	TCB1	1	unknown function	0.069	0.022	-0.09	0.143	-0.283	-0.023	0.025	0.144	0.04	0.081	-0.156	-0.521	-0.261	-0.019	0.095	-0.085	-0.072	0.007	0.034	-0.045	0.002	-0.047	0.008	-0.069	0.084	0.394	0.09	0.001	-0.09	0.056	0.025	0.078	-0.511	-0.09	-0.061	0.071	-0.403	-0.261	-0.129	0.167	-0.033	0.123	-0.227	-0.231	0.244	0.031	-0.091	0.055	-0.022	-0.099	-0.034
YBR217W	ATG12	1	protein-vacuolar targeting*	-0.215	0.039	-0.102	0.025	0.045	0.016	0.1	0.085	0.053	0.09	-0.088	-0.109	-0.615	0.191	-0.002	0.013	-0.211	-0.043	0.065	-0.044	0.032	-0.008	-0.117	-0.064	-0.034	-0.239	0.112	-0.046	0.08	-0.006	-0.011	-0.032	-0.061	0.046	0.027	0.137	0.097	0.045	0.015	0.113	0.035	0.073	-0.138	-0.08	0.053	0.011	0.036	0.055	-0.065	-0.038	-0.008
YCR037C	PHO87	1	phosphate transport	0.123	0.088	0.05		0.093	0.117	0.15	0.181	0.026	0.113	-0.077	-0.211	-0.456	-0.057	-0.127	0.056	-0.039	0.046	-0.026	-0.044	0.226	-0.022	-0.015	0.03	0.158	-0.14	-0.026	0.241	-0.018	-0.2	0.074	-0.004	-0.034	0.018	0.073	-0.125	-0.145	-0.275	-0.161	-0.225	-0.104	-0.168	-0.041	0.003	-0.125	0.046	0.055	-0.211	0.023	0.005	0.019
YEL018W	EAF5	1	unknown function	-0.639	0.035	-0.099	0	-0.008	-0.063	0.047	0.108	-0.012	0.063	-0.025	-0.084	0.047	-0.37	-0.049	0.224	-0.133	0.046	0.042	-0.044	0.125	0.031	0.156	0.01	0.149	-0.515	-0.005	0.018	0.136	-0.33	0.012	-0.012	-0.267	0.059	0.054	0.022	-0.027	-0.066	-0.358	-0.239	-0.061	-0.3	-0.176	-0.18	-0.231	-0.006	-0.145	-0.278	-0.009	0.212	0.147
YGL010W	YGL010W	1	unknown function	-0.043	0.025	0.006	-0.096	0.077	-0.223	-0.031	-0.112	-0.302	0.036	0.029	0.135	0.42	0.274	-0.089	-0.049	0.141	0.032	-0.03	-0.044	0.055	-0.022	-0.063	-0.035	0.206	-0.271	-0.063	-0.082	-0.057	-0.345	0.264	-0.045	-0.134	0.041	0.091	-0.185	0.124	0.217	-0.374	-0.441	0.036	-0.42	-0.228	-0.616	-0.532	0.029	-0.027	-0.441	0.219	0.024	-0.027
YGL254W	FZF1	1	positive regulation of transcription from Pol II promoter*	0.094	0.033	-0.115	-0.118	-0.008	-0.068	-0.038	-0.1	-0.152	-0.022	0.025	0.019	0.069	0.068	-0.012	-0.043	0.006	0.009	-0.076	-0.044	0.028	0.05	-0.049	0.055	0.133	0.115	-0.045	-0.009	-0.007	-0.288	0.102	-0.068	0.042	0.063	0.028	-0.097	0.018	0.117	-0.353	-0.352	0.053	-0.427	-0.158	-0.004	-0.465	0.068	0.075	-0.425	-0.208	-0.012	-0.024
YGL258W	VEL1	1	unknown function	0.316	-0.017	0.173	0.119	-0.018	0.025	-0.054	-0.021	-0.095	-0.119	-0.102	-0.368	-0.175	0.057	-0.055	-0.262	0.003	0.011	-0.026	-0.044	0.006	0.108	-0.035	-0.132	0.153	0.394	-0.016	-0.035	-0.046	-0.33	-0.159	-0.03	-0.235	-0.06	0.027	-0.18	-0.365	-0.168	-0.428	-0.291	0.018	-0.415	-0.295	0.027	-0.569	0.057	0.003	-0.561	-0.003	-0.048	-0.023
YHL034C	SBP1	1	RNA metabolism	0.476	-0.289	-0.227	-0.16	0.016	-0.191	0.301	0.14	0.059	0.02	0.321	-0.377	-1.701	-0.368	-0.032	-0.151	0.5	0.061	0.201	-0.044	0.079	-0.028	0.089	0.173	0.218	0.358	-0.046	-0.057	0.287	-0.394	0.025	0.099	-0.155	-0.038	0.167	0.102	0.125	0.026	-0.158	-0.227	0.254	-0.383	0.101	-0.423	-0.291	-0.03	0.388	-0.663	-0.062	0.104	0.108
YIL111W	COX5B	1	anaerobic respiration	-0.725	0.077	0.021	0.071	0.024	0.065	-0.185	-0.02	-0.146	-0.059	-0.06	0.155	0.311	0.001	-0.003	0.076	-0.125	0.039	0.087	-0.044	-0.099	0.063	0.067	0.02	0.073	-0.714	0.077	-0.274	0.007	-0.079	-0.168	-0.023	0.222	0.123	-0.031	0.652	0.098	0.186	0.069	0.192	0.114	0.011	0.055	0.037	0.016	-0.195	-0.271	-0.123	0.122	0.078	0.089
YIL159W	BNR1	1	actin filament organization*	-0.37	0.077	-0.116	0.13	-0.173	0.032	-0.117	0.061	-0.149	-0.011	0.033	-0.117	-0.03	0.092	-0.102	-0.136	-0.108	-0.06	0.01	-0.044	0.105	-0.011	0.132	0.029	0.17	-0.466	-0.191	-0.027	-0.092	-0.202	-0.083	0.092	0.104	0.169	0.052	0.333	-0.125	-0.056	-0.18	-0.142	0.017	-0.2	-0.151	-0.048	-0.222	0.04	-0.399	-0.283	-0.006	-0.07	-0.052
YIL166C	YIL166C	1	transport	-0.458	0.088	-0.021	-0.031	0.023	0.212	-0.083	-0.003	0.188	0.007	-0.001	-0.001	0.188	-0.064	-0.014	0.036	-0.109	-0.069	-0.096	-0.044	-0.037	-0.082	0.039	0.068	0.143	-0.387	-0.196	-0.134	-0.048	-0.083	-0.006	-0.004	-0.007	0.074	-0.313	-0.159	0.082	0.217	-0.103	-0.057	-0.018	-0.07	-0.181	-0.025	-0.039	0.106	-0.007	-0.113	0.043	-0.06	-0.104
YLL048C	YBT1	1	bile acid transport	0.308	0.096	-0.117	0.004	-0.092	0.117	-0.234	-0.082	-0.025	-0.116	-0.108	0.04	-0.3	-0.175	0.074	0.285	-0.188	-0.193	-0.002	-0.044	0.001	-0.036	-0.002	0.022	0.14	-0.109	-0.127	0.017	0.03	-0.01	0.022	0.073	0.276	0.208	-0.043	-0.238	0.119	0.233	0.022	0.137	-0.076	-0.032	0.133	0.215	-0.107	0.001	-0.174	0.029	-0.508	0.004	0.02
YLR001C	YLR001C	1	unknown function	0.044	0.091	0.037	-0.018	-0.07	0.115	-0.111	-0.061	0.058	-0.136	-0.069	0.156	0.25	-0.151	0.035	-0.075	-0.086	0.014	-0.017	-0.044	0	0.018	0.129	0.147	0.193	-0.056	0.071	-0.102	0.004	-0.028	-0.001	-0.055	0.124	0.047	-0.013	-0.268	0.123	0.253	0.03	0.092	-0.016	-0.013	0.126	0.199	0.024	-0.056	-0.166	0.057	0.004	-0.007	-0.035
YOL017W	ESC8	1	chromatin silencing	-0.061	0.032	0.172	-0.005	-0.201	0.092	-0.153	-0.082	0.031	-0.139	-0.002	0.031	0.085	-0.098	0.028	-0.149	-0.051	0	0.044	-0.044	0.015	-0.046	-0.003	0.028	-0.036	0.066	0.043	-0.154	0.023	0.016	-0.012	-0.051	0.201	0.011	0.06	-0.198	0.051	0.155	0.106	0.185	-0.009	0.018	0.107	0.027	-0.056	0.018	-0.137	0.056	0.113	0.001	-0.007
YOR367W	SCP1	1	actin filament organization	-0.433	0.08	-0.219	-0.036	-0.087	-0.008	0.046	0.04	-0.08	0.092	-0.06	0.058	-0.003	-0.368	0.002	0.06	-0.216	0.069	0.008	-0.044	0.165	-0.023	0.104	0.14	0.241	-0.514	0.128	0.059	0.021	-0.132	-0.117	0.051	-0.087	0.073	-0.003	0.086	0.133	0.123	-0.207	-0.188	0.009	-0.174	-0.27	-0.215	-0.126	0.035	-0.124	-0.131	0.018	0.044	0.012
YPL174C	NIP100	1	mitotic anaphase B	0.309	-0.72	0.069	0.043	0.545	0.1	-0.723	-0.545	0.027	-0.04	0.523	-0.173	-0.328	-0.352	0.399	-0.208	0.112	0.221	0.033	-0.044	0.041	0.121	0.477	-0.275	-0.556	-0.043	0.207	0.023	0.141	-0.312	0.339	0.293	-0.056	-0.558	0.295	0.125	0.015	0.352	-0.081	0.04	0.138	-0.314	0.176	-0.208	-0.166	-0.026	0.166	-0.251	-0.544	0.138	0.194
YBL091C	MAP2	1	proteolysis and peptidolysis	-1.155	0.09	-0.044	0.125	-0.093	0.076	-0.063	0.237	-0.013	0.011	-0.004	0.043	0.064	0.12	-0.054	-0.064	-0.082	0.027	-0.036	-0.043	0.059	0.008	-0.043	0.042	0.298	-1.265	0.215	-0.083	0.013	0.044	0.068	-0.016	0.021	0.003	0.003	0.223	0.01	0.185	-0.086	-0.057	-0.036	-0.016	0.05	-0.097	-0.181	-0.018	-0.151	-0.002	0.017	-0.023	-0.028
YCL024W	KCC4	1	protein amino acid phosphorylation*	-0.074	0.05	-0.079	-0.03	0.109	0.046	0.288	0.281	0.099	0.294	0.054	-0.062	-0.073	0.088	-0.128	0.152	-0.083	-0.071	0.05	-0.043	0.094	-0.035	0.074	-0.094	-0.063	-0.137	0.009	0.045	-0.008	-0.195	-0.02	-0.005	-0.387	0.02	-0.003	-0.076	0.025	0.012	-0.143	-0.21	0.109	-0.16	-0.308	-0.32	-0.16	0.026	-0.041	-0.168	-0.015	-0.004	-0.065
YJR109C	CPA2	1	arginine biosynthesis	-0.205	0.084	0.209	-0.071	0.066	0.014	-0.089	-0.166	-0.075	-0.097	0.065	0.125	0.015	-0.146	-1.665	0.327	-0.099	-0.087	0.017	-0.043	0.01	-0.026	0.057	0.108	-0.183	-0.34	-0.018	-0.046	0.158	0.01	-0.028	-0.043	-0.063	-3.129	-0.019	-0.151	0.041	-0.082	0.035	-0.049	0.018	-0.032	0.139	0.12	-0.032	-0.023	-0.116	0.042	0.098	0.186	0.161
YLL042C	ATG10	1	protein-vacuolar targeting*	-0.244	0.061	-0.128	0.018	-0.142	0.019	0.072	0.07	-0.07	0.079	-0.001	0.169	-0.132	-0.227	-0.065	0.114	-0.118	-0.008	-0.004	-0.043	0.038	-0.001	0.012	0.11	0.159	-0.456	-0.059	-0.034	0.061	-0.196	-0.042	0	0.109	0.116	-0.034	-0.049	0.041	0.107	-0.096	-0.074	0.035	-0.16	-0.009	-0.057	-0.201	0.022	-0.195	-0.112	-0.023	0.021	-0.001
YML072C	TCB3	1	unknown function	0	0.008	0.007	-0.031	0.289	0.04	-0.191	-0.062	0.068	-0.076	0.019	-0.147	-0.161	0.022	-0.028	0.13	-0.16	0.002	0.005	-0.043	0.125	0.024	-0.082	-0.101	0.015	-0.002	-0.012	-0.017	0.036	-0.285	-0.048	-0.329	-0.076	-0.067	-0.015	0.141	-0.125	-0.204	-0.259	-0.348	0.081	-0.236	-0.044	0.078	-0.199	-0.018	-0.167	-0.312	-0.071	-0.021	0.004
YML075C	HMG1	1	ergosterol biosynthesis	-0.15	0.063	-0.327	0.005	-1.731	-0.221	-0.036	0.055	-0.069	0	0.04	0.047	-0.322	0.076	-0.253	0.022	0.019	-0.145	-0.174	-0.043	0.096	-0.013	-0.215	0.086	0.133	-0.293	-0.34	-0.195	0.094	-0.124	0.09	-0.126	-0.06	-0.126	0.017	-0.22	-0.006	-0.111	0.049	0.013	-0.165	-0.123	-0.178	-0.162	-0.137	0.064	-0.244	-0.117	-0.035	0.034	0.053
YML128C	MSC1	1	meiotic recombination	0.875	-1.591	-0.258									0.019	0.906		0.36	-0.112	1.66	0.23	0.631	-0.043	-0.054	0.123		0.007	1.061	-0.076	0.569	1.114	0.466	0.023	0.402		0.095	0.447		0.805	0.083	0.96	-0.868	-0.656	0.641	-0.186	0.517	1.018	-0.087	0.535	-0.149	-0.064	-0.105	0.442	0.645
YOL158C	ENB1	1	ferric-enterobactin transport	0.056	0.09	-0.131	-0.116	0.015	0.159	-0.092	-0.023	0.102	-0.077	-0.035	-0.016	0.141	-0.275	-0.086	0.239	-0.123	0.002	0.048	-0.043	-0.073	0.013	0.037	0.086	0.045	0.159	0.021	-0.109	-0.039	-0.007	-0.154	-0.087	-0.003	0.057	-0.022	-0.014	0.001	-0.033	-0.023	-0.149	0.083	-0.094	-0.077	0.034	-0.036	0.162	-0.087	-0.04	0.01	-0.055	-0.053
YOR317W	FAA1	1	lipid metabolism*	-0.076	0.107	0.013	-0.031	0.033	0.137	-0.252	-0.115	0.146	-0.142	-0.108	0.028	0.037	-0.085	0.038	0.19	-0.853	0.01	-0.008	-0.043	0.077	0.018	-0.074	0.158	0.214	-0.166	0.018	-0.03	0.05	-0.046	-0.059	-0.017	0.072	0.058	-0.029	-0.083	0.076	0.09	0.039	0.064	-0.2	0.045	0.088	0.115	0.009	-0.085	-0.137	-0.034	0.171	-0.025	-0.001
YOR374W	ALD4	1	ethanol metabolism	0.319	0.066	-0.146	0.271	-0.243	0.089	0.185	0.322	0.062	0.111	-0.23	-0.065	-0.143	-0.37	0.002	0.029	-0.168	0.042	0.005	-0.043	-0.066	-0.047	0.079	-0.024	-0.083	-0.009	0.065	-0.069	0.006	0.238	0.042	0.025	-0.054	0.084	-0.016	-0.036	-0.043	0.105	0.22	0.217	0.024	0.206	-0.241	-0.234	0.23	-0.116	-0.256	0.248	0.054	0.005	0.002
YBR184W	YBR184W	1	unknown function	-0.177	0.014	0.035	-0.003	-0.006	0.015	0.038	0.053	-0.005	0.132	-0.036	-0.11	-0.074	-0.021	0.013	0.122	-0.139	0.154	-0.024	-0.042	-0.007	0.018	0.048	0.056	0.014	0.173	-0.041	0.184	-0.063	-0.011	0.317	-0.023	-0.16	-0.047	-0.082	-0.17	0.003	-0.063	-0.135	-0.094	-0.211	0.021	-0.177	-0.098	0.102	0.102	-0.056	0.01	0.108	-0.066	-0.082
YEL040W	UTR2	1	cell wall organization and biogenesis	0.754	0.014	0.008	-0.005		-0.251	0.023	-0.275	-0.332	0.018	-0.003	0.332	0.342	-0.359	-0.115	0.059	-0.059	0.064	-0.025	-0.042	0.003	-0.017	-0.026	0.121	0.099	-0.362	-0.022	-0.136	-0.005	-0.156	0.141	-0.008	0.19	0.214	-0.012	-0.259	0.292	0.274	-0.175	-0.197	0.02	-0.242	-0.05	0.006	-0.183	-0.129	-0.151	-0.157	-0.011	-0.059	-0.021
YER176W	ECM32	1	regulation of translational termination	-0.307	0.069	0.003	-0.116	-0.001	0.119	-0.19	-0.197	0.06	-0.106	-0.006	0.116	0.167	-0.073	0.024	-0.245	0.051	0.014	-0.042	-0.042	-0.103	-0.005	-0.059	0.064	0.275	-0.084	0.033	-0.166	0.051	-0.257	0.092	-0.017	0.212	0.072	-0.003	-0.157	0.121	0.188	-0.194	-0.138	-0.06	-0.288	0.02	0.139	-0.248	0.015	-0.156	-0.308	-0.091	-0.021	-0.057
YIL010W	DOT5	1	regulation of cell redox homeostasis	0.185	0.04	-0.209	0.063	-0.261	-0.016	0.025	0.135	0.002	0.109	-0.083	0.21	0.269	-0.417	-0.07	0.151	-0.059	-0.007	-0.02	-0.042	-0.092	-0.024	0.029	0.116	0.07	0.129	0.11	-0.154	-0.009	0.126	-0.012	0.017	0.214	0.139	-0.049	0.161	0.123	0.151	0.145	0.19	0.029	0.083	0.129	-0.039	0.053	0.007	-0.18	0.145	-0.074	-0.009	-0.019
YIL074C	SER33	1	serine family amino acid biosynthesis	-0.029	0.079	0.14			-0.086	-0.042	0.017	-0.044	-0.059	0.026	0.089	0.116	-0.351	-0.18	-0.137	-0.162	-0.018	-0.044	-0.042	-0.077	0.04	-0.03	0.097	0.043	-0.32	0.063	-0.118	0.039	-0.069	0.147	0.012	0.034	0.025	-0.09	-0.024	0.03	-0.03	-0.043	-0.07	-0.061	-0.036	0.166	0.108	0.02	0.205	-0.006	-0.013	-0.182	-0.004	-0.02
YJL022W	YJL022W	1	unknown function	-0.245	-0.263	0.335	0.07	0.487	0.152	-1.057	0.193	0.372	0.014	0.448	-0.268	0.062	-0.008	0.012	0.253	0.103	-0.184	-0.042	-0.042	-0.04	0.106	0.206	-0.239	-0.765	-1.774	0.204	0.377	0.039	-0.539	0.211	0.129	-0.631	-0.637	0.069	0.332	-0.368	0.105	-0.082	0.019	0.197	-0.341	-0.226	-0.875	-0.019	-0.087	0.16	-0.216	-0.203	0.015	0.143
YJL065C	DLS1	1	chromatin silencing at telomere	-0.192	0.094	-0.195	0.054	-0.174	-0.01	0.075	0.208	0.009	0.127	-0.003	0.343	0.78	-0.416	0.047	0.128	0.056	0.107	0.044	-0.042	0.095	-0.061	0.104	0.083	0.024	-0.256	-0.158	0.045	0.084	-0.004	0.113	0.088	-0.069	0.155	-0.035	0.183	0.147	-0.215	-0.108	-0.731	0.193	-0.008	-0.325	-0.657	-0.058	-0.066	-0.039	0.063	0.099	-0.005	0.034
YJR058C	APS2	1	vesicle-mediated transport	-0.01	0.05	-0.075	-0.133	0.056	0.062	-0.007	-0.012	0.064	0.044	0.27	-0.366	-1.557	-0.027	0.008	0.001	0.01	0.034	-0.074	-0.042	-0.001	0.047	0.085	0.036	0.053	-0.144	0.156	0.021	0.037	-0.22	0.094	-0.032	-0.043	-0.014	0.031	0.167	-0.01	-0.069	-0.125	-0.107	0.009	-0.211	-0.257	-0.236	-0.204	0.061	-0.106	-0.184	0.146	0.012	-0.015
YLR414C	YLR414C	1	unknown function	-0.125	0.092	-0.053	0.091	0.104	0.023	-0.093	0.017	-0.009	-0.058	-0.098	-0.071	-0.362	0.13	-0.068	0.114	-0.232	0.029	-0.165	-0.042	0.041	-0.001	-0.165	-0.104	-0.084	-0.086	-0.06	-0.1	0.045	-0.103	-0.068	-0.071	0.127	0.041	0.018	0.043	-0.037	-0.12	0.036	-0.009	-0.16	-0.05	-0.097	0.138	-0.061	0.035	-0.146	-0.072	0.048	-0.021	-0.064
YMR247C	YMR247C	1	unknown function	-0.151	0.002	0.085	0.03	-0.224	-0.473	-0.164	-0.133	-0.1	-0.118	-0.489	-0.108	-0.064	-0.431	0.075	0.141	-0.069	0.047	0.073	-0.042	0.072	-0.034	-0.022	0.039	0.065	-0.002	-0.027	0.086	0.424	-0.168	0.073	-0.019	0.066	0.04	0.082	0.046	-0.063	-0.082	-0.063	-0.037	0.203	-0.086	0.006	0.047	-0.076	-0.023	0.008	-0.03	-0.109	0.359	0.392
YNL190W	YNL190W	1	response to dessication	-0.034	0.085	-0.12	0.005	-0.162	0.064	-0.167	-0.069	-0.027	-0.08	-0.095	0.061	-0.015	-0.1	0.003	0.162	-0.121	0.033	0.034	-0.042	0.023	-0.044	0.272	0.128	0.006	-0.073	-0.012	-0.013	-0.052	-0.013	-0.149	0.002	0.162	0.004	-0.032	-0.085	0.026	0.053	0.05	-0.015	-0.067	0.008	0.103	0.117	-0.031	-0.136	-0.054	0.098	0.112	-0.033	-0.009
YOL047C	YOL047C	1	unknown function	0.242	0.065	-0.03	-0.021	-0.108	-0.105	-0.14	0.067	-0.053	-0.056	-0.077	0.097	0.145	-0.29	0.038	0.025	-0.098	-0.021	-0.001	-0.042	-0.014	-0.064	-0.015	0.061	0.011	0.201	0.074	-0.048	0.078	0.063	0.036	-0.093	-0.496	0.062	-0.116	0.168	0.022	-0.066	0.105	0.117	0.016	0.039	-0.506	-0.534	0.137	0.031	-0.045	0.039	-0.005	0.14	0.118
YOR306C	MCH5	1	transport	0.026	0.076	-0.064	0.116	-0.083	0.204	-0.048	0.202	0.136	-0.035	-0.019	0.045	0.017	-0.083	0.099	0.109	-0.118	0.049	-0.036	-0.042	0.008	0.042	-0.089	0.066	0	0.036	0.059	-0.059	-0.005	0.165	-0.191	-0.005	0.006	0	0.03	0.074	-0.038	-0.117	0.258	0.24	0.044	0.237	0.075	0.009	0.201	-0.059	-0.24	0.219	-0.02	-0.058	-0.044
YPL013C	MRPS16	1	protein biosynthesis	-1.512	-0.166	0.06	0.04	0.528	0.025	-1.259	0.297	0.383	0.197	0.084	-0.046	-0.168	0.127	-0.058	0.121	0.168	-0.001	-0.015	-0.042	-0.035	0.079	0.228	-0.279	-0.834	-2.099	0.257	0.487	-0.07	-0.24	0.159	0.102	-0.477	-0.479	0.068	0.387	-0.255	0.323	0.047	-0.008	0.217	-0.153	-0.232	-0.685	-0.083	-0.034	0.388	0.028	-0.178	0.087	0.194
YPL034W	YPL034W	1	unknown function	-0.338	0.069	-0.193	-0.087	0.036	0.125	0.214	0.286	0.131	0.233	-0.02	-0.086	-0.223	0.103	-0.133	0.062	0.007	-0.066	0.03	-0.042	0	0.032	0.089	0.121	0.149	-0.437	0.101	-0.16	-0.012	-0.159	0.1	0.024	-0.27	-0.094	-0.024	0.229	-0.114	-0.121	-0.185	-0.258	-0.004	-0.148	-0.337	-0.389	-0.214	0.04	-0.092	-0.145	0.274	0.017	-0.059
YPL103C	FMP30	1	unknown function	-0.285	0.121	0.07	0.019	-0.053	0.039	-0.156	-0.057	-0.038	-0.113	0.01	-0.021	-0.182	-0.069	-0.036	-0.079	0.01	0.058	-0.037	-0.042	-0.011	0.031	-0.027	0.238	0.297	-0.4	0.047	-0.108	0.055	-0.037	0.048	-0.042	0.132	-0.081	0.024	0.149	0.001	-0.047	-0.054	-0.119	-0.038	-0.049	0.092	-0.066	-0.067	-0.012	-0.21	-0.025	0.195	-0.021	-0.017
YPL223C	GRE1	1	response to stress*	-0.305	0.073	0.183	-0.098	0.07	0.064	-0.211	-0.242	-0.069	-0.204	-0.034	0.496	0.372	-0.353	-0.007	-0.012	-0.032	-0.015	-0.011	-0.042	0.061	0.013	0.046	0.508	0.249	-0.38	-0.074	-0.117	-0.044	0.306	0.167	0.019	0.167	0.083	-0.01	-0.28	0.336	0.406	0.027	-0.328	0.025	0.266	0.195	-0.367	0.26	-0.013	-0.086	0.298	-0.126	-0.051	-0.074
YPR149W	NCE102	1	protein secretion	0.05	0.025	-0.309	-0.022	-0.128	0.186	0.138	0.326	0.146	0.195	-0.437	0.006	-0.071	0.148	0.063	0.128	-0.109	0.112	-0.068	-0.042	0.059	0.025	-0.19	-0.026	0.082	0.388	0.118	-0.032	-0.032	-0.003	-0.025	0.056	-0.16	0.002	0.073	0.005	-0.082	-0.25	0.077	0.184	0.025	0.01	-0.227	-0.132	-0.071	-0.036	-0.039	-0.01	-0.144	0.007	-0.012
YCL042W	YCL042W	1	unknown function	-0.455	-0.061	0.045	-0.139		-0.202			-0.192		0.094	0.119	-0.16	0.062	-0.158	0.045	0.037	0.112	-0.115	-0.041	0.074	0.006	0.032	0.168	0.214	-0.661	0.014	-0.09	-0.027	-0.304	0.365	-0.021	-0.335	0.167	0.267	-0.116	0.199	-0.013	-0.345	-0.692	-0.544	-0.322	-0.32	-0.826	-0.246	0.129	0.115	-0.327	-0.049	0.005	-0.09
YDR022C	CIS1	1	regulation of cyclin dependent protein kinase activity	0.053	0.019	0.054	0.088	0.056	0.067	-0.121	0.09	0.056	-0.038	0.208	-0.184	-0.13	0.086	0.067	0.062	-0.127	0.084	0.058	-0.041	-0.218	-0.023	0.009	-0.118	0.092	-0.187	-0.059	-0.288	0.005	-0.182	-0.062	0.035	-0.315	-0.02	-0.023	0.161	-0.068	-0.472	-0.054	0.086	0.033	-0.173	-0.339	-0.191	-0.119	0.221	-0.136	-0.188	0.107	0.027	0.036
YDR094W	YDR094W	1	unknown function	0.094	0.025	0.114	-0.132	0.267	0.132	-0.261	-0.25	0.051	-0.15	-0.002	0.054	0.026	0.108	-0.163	0.091	0.026	-0.08	0.022	-0.041	-0.069	0.066	0.105	-0.042	-0.163	0.258	-0.09	-0.053	0.022	-0.228	0.092	0.009	0.187	0.029	0.052	-0.113	0.063	0.076	-0.114	-0.228	0.128	-0.268	0.095	0.204	-0.258	0.076	0.08	-0.241	0.09	0.028	0.002
YDR452W	PPN1	1	polyphosphate metabolism	0.037	0.079	0.073	-0.152		-0.181	0.208	-0.208	-0.145	0.118	0.048	0.519	0.382	0.125	-0.043	-0.173	0.078	0.096	-0.075	-0.041	0.008	0.04	0.002	0.367	0.177	0.361	0.06	-0.15	-0.31	0.092	0.337	0.042	-0.523	0.013	0.132	-0.109	0.606	0.459	0.101	-0.281	-0.032	-0.004	-0.374	-1.206	0.037	0.114	0.104	-0.027	0.084	-0.133	-0.283
YGL005C	COG7	1	intra-Golgi transport	-0.146	-0.148	0.061	-0.212	0.389	-1.306	-0.341	-0.858	-0.417	-0.192	-0.024	-0.529	-1.654	-0.066	-0.085	-0.025	0.226	-0.427	-0.051	-0.041	0.208	0.171	-0.16	-0.139	0.002	-0.163	0.103	0.356	-0.105	-0.264	-0.034	-0.493	0.236	-0.137	0.086	0.004	-0.129	0.148	-0.94	-1.374	-0.515	-0.304	0.129	0.548	-0.586	0.06	0.019	-0.347	-0.219	0.028	-0.078
YHR049W	FSH1	1	unknown function	-0.061	0.072	0.002	-0.037	-0.23	0.003	-0.221	-0.082	0.063	-0.049	-0.116	0.204	0.197	-0.14	0.015	0.188	-0.149	0.005	-0.045	-0.041	-0.036	-0.023	0.115	0.148	0.024	-0.05	-0.105	-0.099	0.03	-0.022	-0.121	-0.061	0.311	0.09	-0.042	-0.127	0.094	0.051	0.118	0.118	0.03	0.052	0.14	0.164	-0.043	-0.126	-0.033	0.121	-0.04	-0.05	-0.032
YIL119C	RPI1	1	thiamin biosynthesis*	-0.918	0.079	0.246	-0.038	0.029	-0.057	-0.379	-0.129	-0.062	-0.112	0.016	-0.137	-0.078	-0.107	-0.118	0.103	-0.129	0.024	0.03	-0.041	0.003	0.043	0.011	-0.055	0.017	-1.048	-0.009	0.031	-0.102	-0.341	0.078	-0.005	-0.041	0.142	-0.033	0.002	-0.033	0.07	-0.222	-0.023	0.022	-0.269	-0.053	0.338	-0.242	0.183	-0.098	-0.404	0.091	0.008	0.111
